train_loss,epoch,step,val_loss
0.36711585521698,0,9,
0.37630918622016907,0,19,
0.37526941299438477,0,29,
0.35126909613609314,0,39,
0.33972957730293274,0,49,
0.343339741230011,0,59,
0.32041484117507935,0,69,
0.3147119879722595,0,79,
0.31091833114624023,0,89,
0.3060096502304077,0,99,
0.2750898003578186,0,109,
0.2614502012729645,0,119,
0.25391533970832825,0,129,
0.22226639091968536,0,139,
0.232740119099617,0,149,
0.23332324624061584,0,159,
0.21214434504508972,0,169,
0.21289563179016113,0,179,
0.21448317170143127,0,189,
0.2092158943414688,0,199,
0.19897520542144775,0,209,
0.1966814398765564,0,219,
0.21391640603542328,0,229,
0.18716736137866974,0,239,
0.1948627233505249,0,249,
0.19118520617485046,0,259,
0.18487554788589478,0,269,
0.16788369417190552,0,279,
0.18427631258964539,0,289,
0.18555289506912231,0,299,
0.18172937631607056,0,309,
0.17705528438091278,0,319,
0.19193193316459656,0,329,
0.18621282279491425,0,339,
0.18505434691905975,0,349,
0.18368420004844666,0,359,
0.1569301187992096,0,369,
,0,369,0.3721819221973419
